Time,X_pos,Y_pos,X_vel,Y_vel,X_acl,Y_acl,Angle,Ang_vel,Ang_acl
0.46,-0.032063444000830554,2.9310849003101076,-0.4038629298696279,30.587839776259948,-4.423034265129864,224.59437160910647,1.0810000000000006,4.6,10.0
0.47000000000000003,-0.03654437672603982,3.259422735233618,-0.44809327252092657,32.83378349235101,-4.76497771011807,232.1916302642182,1.1280000000000006,4.699999999999999,10.0
0.48,-0.04150180722226089,3.61097973318355,-0.49574304962210725,35.15569979499319,-5.093787319138673,238.32905632230734,1.1760000000000006,4.799999999999999,10.0
0.49,-0.04696861645039583,3.9863696367657124,-0.546680922813494,37.53899035821626,-5.390513711185606,242.27703911620296,1.2250000000000005,4.899999999999999,10.0
0.5,-0.05297447704964933,4.385987244259495,-0.6005860599253501,39.96176074937829,-5.698465132905263,246.22459355940384,1.2750000000000006,4.999999999999998,10.0
0.51,-0.05955018416219336,4.810227311109219,-0.6575707112544027,42.42400668497233,-6.01784791159498,250.17169449974244,1.3260000000000005,5.099999999999998,10.0
0.52,-0.06672767606589688,5.259484547408916,-0.7177491903703525,44.92572362996976,-6.348868321436628,254.11831582233629,1.3780000000000006,5.1999999999999975,10.0
0.53,-0.07454005480174407,5.734153615290847,-0.7812378735847187,47.46690678819312,-6.51592302082211,251.02665881268456,1.4310000000000005,5.299999999999997,10.0
0.54,-0.08300402583967346,6.233925349054046,-0.8463971037929399,49.97717337631997,-6.661490618581821,247.15284877384073,1.4850000000000005,5.399999999999997,10.0
0.55,-0.09213414593946105,6.75841236769463,-0.9130120099787581,52.44870186405838,-6.804179369753752,243.27888075710436,1.5400000000000005,5.4999999999999964,10.0
0.56,-0.10194468397622401,7.307227274410924,-0.9810538036762956,54.88149067162942,-6.943786490683117,239.40475799037472,1.5960000000000005,5.599999999999996,10.0
0.5700000000000001,-0.11244960066205528,7.879982656926256,-1.0504916685831267,57.27553825153317,-7.0801092018030225,235.53048425538887,1.6530000000000005,5.699999999999996,10.0
0.58,-0.12366252826806685,8.476291087867127,-1.121292760601157,59.63084309408706,-7.212944728932271,231.6560639053939,1.7110000000000005,5.799999999999995,10.0
0.59,-0.13559675034697166,9.095765125198536,-1.1934222078904797,61.947403733141,-7.342090304657827,227.78150188281595,1.7700000000000005,5.899999999999995,10.0
0.6,-0.14826518145634224,9.738017312718227,-1.266843110937058,64.22521875196917,-7.467343169804177,223.9068037369265,1.8300000000000005,5.999999999999995,10.0
0.61,-0.16168034688269323,10.402660180611612,-1.3415165426350997,66.46428678933843,-7.588500574991657,220.03197564150466,1.8910000000000005,6.099999999999994,10.0
0.62,-0.1758543623665434,11.089306246069146,-1.4174015483850162,68.66460654575347,-7.705359782285981,216.1570244124959,1.9530000000000003,6.199999999999994,10.0
0.63,-0.19079891382862216,11.79756801396793,-1.494455146207876,70.82617678987843,-7.817718066941044,212.28195752566634,2.016,6.299999999999994,10.0
0.64,-0.206525237097395,12.527057977619283,-1.5726323268772864,72.94899636513509,-7.925372719237209,208.40678313425295,2.08,6.399999999999993,10.0
0.65,-0.2230440976380916,13.277388619584059,-1.6518860540696585,75.03306419647761,-8.088331804610904,206.139067416659,2.145,6.499999999999993,10.0
